#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2021,1,1,10,10,53,8.9,11,99,99,99,999,1016,23.6,25.3,22.5,99,99
2021,1,1,10,20,61,9.2,11.2,99,99,99,999,1016,23.3,25.3,22.2,99,99
2021,1,1,10,30,66,9.4,12.3,99,99,99,999,1016,23.4,25.3,22,99,99
2021,1,1,10,40,62,9.6,11.8,2.9,14.81,7.39,333,1016,23.3,25.3,22.1,99,99
2021,1,1,10,50,63,9.1,11.1,99,99,99,999,1015.8,22.9,25.3,21.8,99,99
2021,1,1,11,0,76 1,0,13.2,99,99,99,999,1015.9,23.1,25.3,21.7,99,99
2021,1,1,11,10,85,9.8,12.5,99,99,99,999,1015.8,22.9,25.3,21.4,99,99
2021,1,1,11,20,73,8,10.2,99,99,99,999,1015.8,23,25.3,21.9,99,99
2021,1,1,11,30,72,7.8,9.8,99,99,99,999,1015.7,22.9,25.3,21.6,99,99
2021,1,1,11,40,69,7.4,9.4,3,19.05,7.95,330,1015.5,23.3,25.2,21.6,99,99
2021,1,1,11,50,69,8.3,11.4,99,99,99,999,1015.4,23.5,25.3,21.5,99,99
2021,1,1,12,0,86,7.8,10.2,99,99,99,999,1015.4,23.1,25.2,21.7,99,99
2021,1,1,12,10,88,7,9.1,99,99,99,999,1015.3,23.2,25.2,21.9,99,99
2021,1,1,12,20,77,7.5,11.5,99,99,99,999,1015.3,23.5,25.3,22,99,99
2021,1,1,12,30,68,8.1,10.6,99,99,99,999,1015.2,24,25.2,21.7,99,99
2021,1,1,12,40,69,8.5,10.8,3.2,19.05,8,345,1015.1,24.2,25.3,21.7,99,99
2021,1,1,12,50,62,8.6,10.7,99,99,99,999,1015,24.3,25.3,21.8,99,99
2021,1,1,13,0,66,8.9,11,99,99,99,999,1014.8,24.2,25.2,21.7,99,99
2021,1,1,13,10,63,9,10.6,99,99,99,999,1014.8,24.2,25.3,21.7,99,99
2021,1,1,13,20,63,9,11.4,99,99,99,999,1014.9,24.3,25.3,21.5,99,99
2021,1,1,13,30,61,8.9,11.1,99,99,99,999,1014.8,24.4,25.2,21.6,99,99
2021,1,1,13,40,63,8.9,10.8,3.34,17.39,8.21,334,1014.7,24.4,25.3,21.7,99,99
2021,1,1,13,50,58,9.1,11.3,99,99,99,999,1014.7,24.3,25.2,21.7,99,99
2021,1,1,14,0,58,8.9,11.1,99,99,99,999,1014.9,24.3,25.3,21.7,99,99
2021,1,1,14,10,58 1,0.3,14.2,99,99,99,999,1015,24.2,25.3,22,99,99
2021,1,1,14,20,61,9.7,12.1,99,99,99,999,1014.9,23.7,25.3,22,99,99
2021,1,1,14,30,60,9.5,11.4,99,99,99,999,1014.9,23.8,25.3,22,99,99
2021,1,1,14,40,61,9.7,11.6,3.19,17.39,7.93,352,1014.8,23.9,25.3,21.8,99,99
2021,1,1,14,50,55,9.3,12.1,99,99,99,999,1014.9,24.1,25.3,22,99,99
2021,1,1,15,0,59 1,0.3,12.9,99,99,99,999,1014.9,24.1,25.3,21.7,99,99
2021,1,1,15,10,52,9.7,12.5,99,99,99,999,1015,23.8,25.3,21.8,99,99
2021,1,1,15,20,54,9.5,11.9,99,99,99,999,1015,23.8,25.3,22,99,99
2021,1,1,15,30,60 1,0.2,12.9,99,99,99,999,1014.9,24,25.3,21.8,99,99
2021,1,1,15,40,57 1,0.9,12.9,3.11,17.39,7.75,331,1015,24.1,25.3,21.8,99,99
2021,1,1,15,50,55 1,0.8,12.9,99,99,99,999,1015,24.1,25.3,22,99,99
2021,1,1,16,0,54 1,0.4,13.4,99,99,99,999,1015,24.1,25.3,22.1,99,99
2021,1,1,16,10,54 1,0.4,13.3,99,99,99,999,1015.2,24.1,25.3,22.1,99,99
2021,1,1,16,20,70,9,11.4,99,99,99,999,1015.3,23.6,25.3,22.3,99,99
2021,1,1,16,30,55 1,0.8,14.7,99,99,99,999,1015.4,23.6,25.3,22.2,99,99
2021,1,1,16,40,65,9.7,12,3.18,17.39,7.44,343,1015.3,23.7,25.3,22.2,99,99
2021,1,1,16,50,73 1,0.8,15,99,99,99,999,1015.5,23.3,25.3,22,99,99
2021,1,1,17,0,68 1,0.2,13.2,99,99,99,999,1015.7,23.4,25.3,22.4,99,99
2021,1,1,17,10,55 1,0.7,13.1,99,99,99,999,1015.9,23.5,25.3,22.6,99,99
2021,1,1,17,20,58 1,0.3,12.5,99,99,99,999,1016.1,23.6,25.3,22.3,99,99
2021,1,1,17,30,61 1,0,12,99,99,99,999,1016.2,23.9,25.3,22.3,99,99
2021,1,1,17,40,59 1,1,14.5,3.73,17.39,8.42,343,1016.4,23.7,25.3,22.3,99,99
2021,1,1,17,50,59 1,0,14.9,99,99,99,999,1016.4,23.4,25.3,22.4,99,99
2021,1,1,18,0,59 1,0.9,14.2,99,99,99,999,1016.5,23.4,25.3,22.2,99,99
2021,1,1,18,10,63,9.4,11.7,99,99,99,999,1016.6,23.6,25.3,22.3,99,99
2021,1,1,18,20,62,9.4,12.2,99,99,99,999,1016.6,23.9,25.3,22.6,99,99
2021,1,1,18,30,68 1,0.2,14.8,99,99,99,999,1016.6,24,25.3,22.4,99,99
2021,1,1,18,40,72 1,0.3,13.1,3.31,17.39,7.32,331,1016.7,23.4,25.3,22.4,99,99
2021,1,1,18,50,59 1,0.7,13.9,99,99,99,999,1017,23.3,25.3,22.6,99,99
2021,1,1,19,0,71 1,0,12.9,99,99,99,999,1017,23.2,25.3,22.7,99,99
2021,1,1,19,10,63 1,0.3,12.7,99,99,99,999,1017.1,23.6,25.3,22.7,99,99
2021,1,1,19,20,61 1,0.2,12.5,99,99,99,999,1017.1,23.7,25.3,22.6,99,99
2021,1,1,19,30,57 1,0.6,14.6,99,99,99,999,1017.1,23.3,25.3,22.3,99,99
2021,1,1,19,40,65 1,1.6,16.7,3.55,16,7.68,359,1016.9,23.6,25.3,22.3,99,99
2021,1,1,19,50,67 1,0.8,14.4,99,99,99,999,1017,23.4,25.3,22.4,99,99
2021,1,1,20,0,67,9.1,11.2,99,99,99,999,1017,23.6,25.3,22.7,99,99
2021,1,1,20,10,60 1,0.8,14.9,99,99,99,999,1016.9,23.5,25.3,22.6,99,99
2021,1,1,20,20,63 1,0.6,13.4,99,99,99,999,1016.8,23.2,25.3,22.7,99,99
2021,1,1,20,30,66 1,0.6,13.1,99,99,99,999,1016.8,23.6,25.2,22.7,99,99
2021,1,1,20,40,62 1,2,16.2,3.26,16,7.4,339,1016.9,23.6,25.2,22.6,99,99
2021,1,1,20,50,59 1,1.3,13.8,99,99,99,999,1016.8,23,25.2,22.7,99,99
2021,1,1,21,0,57 1,0,13.2,99,99,99,999,1016.5,23.1,25.2,22.9,99,99
2021,1,1,21,10,63,9.6,12.9,99,99,99,999,1016.3,23.4,25.2,23.1,99,99
2021,1,1,21,20,66 1,0.1,15.1,99,99,99,999,1016.2,23.4,25.2,23,99,99
2021,1,1,21,30,67 1,0.7,13.9,99,99,99,999,1016,23.2,25.2,22.7,99,99
2021,1,1,21,40,59 1,0.3,13.2,3.78,17.39,8.14,328,1015.9,23.3,25.2,23,99,99
2021,1,1,21,50,63 1,0.2,13,99,99,99,999,1015.8,23.3,25.2,22.9,99,99
2021,1,1,22,0,66 1,0.5,13.4,99,99,99,999,1015.8,23.4,25.2,22.8,99,99
2021,1,1,22,10,77,9.4,12.6,99,99,99,999,1015.6,23.6,25.2,22.8,99,99
2021,1,1,22,20,61 1,0.3,13.4,99,99,99,999,1015.3,23.3,25.2,22.6,99,99
2021,1,1,22,30,68 1,0.3,13,99,99,99,999,1015.1,23.6,25.2,22.7,99,99
2021,1,1,22,40,68 1,0.2,12.9,3.46,17.39,7.38,347,1015.1,23.4,25.2,22.7,99,99
2021,1,1,22,50,68,8.8,11,99,99,99,999,1014.8,23.3,25.2,23,99,99
2021,1,1,23,0,66,9.6,12.1,99,99,99,999,1014.7,23.3,25.2,23.1,99,99
2021,1,1,23,10,66 1,0.7,13.9,99,99,99,999,1014.3,23.2,25.2,23,99,99
2021,1,1,23,20,70 1,0.2,12.4,99,99,99,999,1014.2,23.1,25.2,22.7,99,99
2021,1,1,23,30,67,9.6,11.6,99,99,99,999,1014.1,23.4,25.3,22.9,99,99
2021,1,1,23,40,61,9.7,11.6,3.49,17.39,7.37,343,1014,23.6,25.2,23.1,99,99
2021,1,1,23,50,57,9.6,11.7,99,99,99,999,1014,23.5,25.3,23,99,99
2021,1,2,0,0,64 1,0.3,12.9,99,99,99,999,1013.9,23.5,25.3,22.8,99,99
2021,1,2,0,10,63 1,0.7,13.3,99,99,99,999,1013.7,23.4,25.3,22.7,99,99
2021,1,2,0,20,61 1,0.2,13.2,99,99,99,999,1013.6,23.6,25.3,22.8,99,99
2021,1,2,0,30,65 1,0.1,13.9,99,99,99,999,1013.4,23.1,25.3,22.7,99,99
2021,1,2,0,40,60,9.7,12,3.81,16,8.16,344,1013.4,23.4,25.3,23,99,99
2021,1,2,0,50,54 1,0.7,14.4,99,99,99,999,1013.6,23.5,25.3,23,99,99
2021,1,2,1,0,61 1,1.3,15,99,99,99,999,1013.4,23.1,25.2,22.9,99,99
2021,1,2,1,10,70 1,1.1,14.8,99,99,99,999,1013.4,23.1,25.2,22.9,99,99
2021,1,2,1,20,65 1,1.4,14.3,99,99,99,999,1013.5,23.2,25.2,23,99,99
2021,1,2,1,30,59 1,2.1,14.9,99,99,99,999,1013.7,22.9,25.2,22.7,99,99
2021,1,2,1,40,67 1,2,14.6,3.32,17.39,7.14,351,1013.7,23,25.2,22.8,99,99
2021,1,2,1,50,66 1,0.7,13.9,99,99,99,999,1013.8,23.1,25.2,22.8,99,99
2021,1,2,2,0,69 1,0.8,15.2,99,99,99,999,1013.9,23.3,25.2,22.8,99,99
2021,1,2,2,10,61 1,1,13.2,99,99,99,999,1014,23.7,25.2,22.9,99,99
2021,1,2,2,20,66 1,0.7,12.9,99,99,99,999,1014,23.5,25.2,22.8,99,99
2021,1,2,2,30,62 1,1.1,13.8,99,99,99,999,1014.2,23.8,25.2,22.8,99,99
2021,1,2,2,40,65 1,0.8,14.7,3.45,16,7.43,328,1014.3,23.6,25.2,22.7,99,99
2021,1,2,2,50,72 1,1.5,14.3,99,99,99,999,1014.2,23.6,25.2,22.6,99,99
2021,1,2,3,0,69 1,1.3,14.3,99,99,99,999,1014.3,23.8,25.2,22.5,99,99
2021,1,2,3,10,65 1,1.4,13.8,99,99,99,999,1014.4,24,25.2,22.5,99,99
2021,1,2,3,20,67 1,1,13.3,99,99,99,999,1014.4,24.1,25.2,22.4,99,99
2021,1,2,3,30,69 1,0.6,13.4,99,99,99,999,1014.6,24.1,25.2,22.5,99,99
2021,1,2,3,40,65 1,0.4,13.4,3.91,17.39,7.76,347,1014.5,24.1,25.2,22.4,99,99
2021,1,2,3,50,68 1,1.4,14.6,99,99,99,999,1014.8,24,25.2,22.2,99,99
2021,1,2,4,0,63 1,0.3,13,99,99,99,999,1014.6,23.6,25.2,22.2,99,99
2021,1,2,4,10,67 1,1.1,14.6,99,99,99,999,1014.8,24,25.2,22.6,99,99
2021,1,2,4,20,69 1,1,14.5,99,99,99,999,1014.9,23.7,25.2,22.6,99,99
2021,1,2,4,30,68 1,0.3,13.4,99,99,99,999,1015,23.7,25.2,22.4,99,99
2021,1,2,4,40,75 1,0.7,15.6,3.71,16,7.65,341,1014.9,24.1,25.2,22.5,99,99
2021,1,2,4,50,71 1,1.6,15.2,99,99,99,999,1014.9,23.9,25.2,22,99,99
2021,1,2,5,0,70 1,1.4,14.3,99,99,99,999,1015.2,24.1,25.2,22.2,99,99
2021,1,2,5,10,71 1,0.5,13.3,99,99,99,999,1015.3,24.2,25.2,22.2,99,99
2021,1,2,5,20,66 1,0.5,12.5,99,99,99,999,1015.5,24.2,25.2,22.3,99,99
2021,1,2,5,30,68 1,0.5,13.4,99,99,99,999,1015.5,24,25.2,22.3,99,99
